State or territory,Census population[8][9][a],House seats[b],Pop. perelec.vote(2020)[c],Pop. perseat(2020)[a],% US(2020),% EC(2020)
"July 1, 2025 (est.)","April 1, 2020",Seats,%
California,"39,355,309","39,538,223",52,11.95%,"732,189","760,350",11.800%,10.04%
Texas,"31,709,821","29,145,505",38,8.74%,"728,638","766,987",8.698%,7.43%
Florida,"23,462,518","21,538,187",28,6.44%,"717,940","769,221",6.428%,5.58%
New York,"20,002,427","20,201,249",26,5.98%,"721,473","776,971",6.029%,5.20%
Pennsylvania,"13,059,432","13,002,700",17,3.91%,"684,353","764,865",3.881%,3.53%
Illinois,"12,719,141","12,812,508",17,3.91%,"674,343","753,677",3.824%,3.53%
Ohio,"11,900,510","11,799,448",15,3.45%,"694,085","786,630",3.521%,3.16%
Georgia,"11,302,748","10,711,908",14,3.22%,"669,494","765,136",3.197%,2.97%
North Carolina,"11,197,968","10,439,388",14,3.22%,"652,462","745,671",3.116%,2.97%
Michigan,"10,127,884","10,077,331",13,2.99%,"671,822","775,179",3.008%,2.79%
New Jersey,"9,548,215","9,288,994",12,2.76%,"663,500","774,083",2.772%,2.60%
Virginia,"8,880,107","8,631,393",11,2.53%,"663,953","784,672",2.576%,2.42%
Washington,"8,001,020","7,705,281",10,2.30%,"642,107","770,528",2.300%,2.23%
Arizona,"7,623,818","7,151,502",9,2.07%,"650,137","794,611",2.134%,2.04%
Tennessee,"7,315,076","6,910,840",9,2.07%,"628,258","767,871",2.062%,2.04%
Massachusetts,"7,154,084","7,029,917",9,2.07%,"639,083","781,102",2.098%,2.04%
Indiana,"6,973,333","6,785,528",9,2.07%,"616,866","753,948",2.025%,2.04%
Missouri,"6,270,541","6,154,913",8,1.84%,"615,491","769,364",1.837%,1.86%
Maryland,"6,265,347","6,177,224",8,1.84%,"617,722","772,153",1.844%,1.86%
Colorado,"6,012,561","5,773,714",8,1.84%,"577,371","721,714",1.723%,1.86%
Wisconsin,"5,972,787","5,893,718",8,1.84%,"589,372","736,715",1.759%,1.86%
Minnesota,"5,830,405","5,706,494",8,1.84%,"570,649","713,312",1.703%,1.86%
South Carolina,"5,570,274","5,118,425",7,1.61%,"568,714","731,204",1.528%,1.67%
Alabama,"5,193,088","5,024,279",7,1.61%,"558,253","717,754",1.499%,1.67%
Louisiana,"4,618,189","4,657,757",6,1.38%,"582,220","776,293",1.390%,1.49%
Kentucky,"4,606,864","4,505,836",6,1.38%,"563,230","750,973",1.345%,1.49%
Oregon,"4,273,586","4,237,256",6,1.38%,"529,657","706,209",1.265%,1.49%
Oklahoma,"4,123,288","3,959,353",5,1.15%,"565,622","791,871",1.182%,1.30%
Connecticut,"3,688,496","3,605,944",5,1.15%,"515,135","721,189",1.076%,1.30%
Utah,"3,538,904","3,271,616",4,0.92%,"545,269","817,904",0.976%,1.12%
Nevada,"3,282,188","3,104,614",4,0.92%,"517,436","776,154",0.927%,1.12%
Iowa,"3,238,387","3,190,369",4,0.92%,"531,728","797,592",0.952%,1.12%
Puerto Rico,"3,184,835","3,285,874",1*[note 1],—,—,—,0.981%,—
Arkansas,"3,114,791","3,011,524",4,0.92%,"501,921","752,881",0.899%,1.12%
Kansas,"2,977,220","2,937,880",4,0.92%,"489,647","734,470",0.877%,1.12%
Mississippi,"2,954,160","2,961,279",4,0.92%,"493,547","740,320",0.884%,1.12%
New Mexico,"2,125,498","2,117,522",3,0.69%,"423,504","705,841",0.632%,0.93%
Idaho,"2,029,733","1,839,106",2,0.46%,"459,777","919,553",0.549%,0.74%
Nebraska,"2,018,006","1,961,504",3,0.69%,"392,301","653,835",0.585%,0.93%
West Virginia,"1,766,147","1,793,716",2,0.46%,"448,429","896,858",0.535%,0.74%
Hawaii,"1,432,820","1,455,271",2,0.46%,"363,818","727,636",0.434%,0.74%
New Hampshire,"1,415,342","1,377,529",2,0.46%,"344,382","688,765",0.411%,0.74%
Maine,"1,414,874","1,362,359",2,0.46%,"340,590","681,180",0.407%,0.74%
Montana,"1,144,694","1,084,225",2,0.46%,"271,056","542,113",0.324%,0.74%
Rhode Island,"1,114,521","1,097,379",2,0.46%,"274,345","548,690",0.328%,0.74%
Delaware,"1,059,952","989,948",1,0.23%,"329,983","989,948",0.295%,0.56%
South Dakota,"935,094","886,667",1,0.23%,"295,556","886,667",0.265%,0.56%
North Dakota,"799,358","779,094",1,0.23%,"259,698","779,094",0.233%,0.56%
Alaska,"737,270","733,391",1,0.23%,"244,464","733,391",0.219%,0.56%
District of Columbia,"693,645","689,545",1*[note 1],—,"229,848",—,0.206%,0.56%
Vermont,"644,663","643,077",1,0.23%,"214,359","643,077",0.192%,0.56%
Wyoming,"588,753","576,851",1,0.23%,"192,284","576,851",0.172%,0.56%
Guam[11],N/A,"153,836",1*[note 1],—,—,—,0.046%,—
U.S. Virgin Islands[12],N/A,"87,146",1*[note 1],—,—,—,0.026%,—
American Samoa[13],N/A,"49,710",1*[note 1],—,—,—,0.015%,—
Northern Mariana Islands[14],N/A,"47,329",1*[note 1],—,—,—,0.014%,—
Contiguous United States,"339,614,767","329,260,619",432(+1*),99.31%,"623,600","756,921",98.265%,98.70%
The 50 states,"341,091,212","330,759,736",435,100%,"618,242","760,367",98.713%,99.44%
The 50 states and D.C.,"341,784,857","331,449,281",435(+1*),100%,"616,077",—,98.918%,100%
Total US and territories,N/A,"335,073,176",435(+6*),100%,—,—,100%,—
